request_id,task_id,session_id,start_time,end_time,duration,success,error,response_count
1,19488777-9350-43e0-9242-d3c52ce70a22,aff2b7da-da4d-4099-bea5-de34b0346681,1745603648.6345658,1745603648.6345768,1.0967254638671875e-05,False,Session is closed,0
2,b9e1c2ac-d89f-42c9-9daa-5f70063ce122,0aaff439-284e-4664-b6ac-c68f52481e08,1745603648.634611,1745603648.634617,6.198883056640625e-06,False,Session is closed,0
3,bc636aac-0d43-4b38-a0d1-4bf4f16c3fff,af993a3b-2e55-49c5-81c5-fb6b536cf578,1745603648.634639,1745603648.6346428,3.814697265625e-06,False,Session is closed,0
4,49cc9970-6cf1-41e0-afb4-5336e4fdb331,b44b1b61-a975-4bc0-a95a-c1dd4222cdef,1745603648.634659,1745603648.634662,2.86102294921875e-06,False,Session is closed,0
5,80f7acf3-2327-4ab5-8f05-d86db6c5434a,d88b0677-ffd5-4bde-b3e8-2d4d54e70fbb,1745603648.634675,1745603648.6346781,3.0994415283203125e-06,False,Session is closed,0
6,c6e377e9-f9c7-4a94-9574-e6682feee0bd,102af529-1de5-4c16-86e2-5facfd83aa67,1745603648.634691,1745603648.6346931,2.1457672119140625e-06,False,Session is closed,0
7,e1015cd0-e0e3-46ff-bea6-12cf9d6f0e1c,2ec23eb2-b4d7-489c-9c2e-a31e84c017d5,1745603648.6347048,1745603648.634708,3.0994415283203125e-06,False,Session is closed,0
8,1587aef7-8496-409b-8f98-5a6d02c063c8,7a8a50b7-455b-4af4-8d89-46c27fce7138,1745603648.634721,1745603648.6347232,2.1457672119140625e-06,False,Session is closed,0
9,c7e49f17-728e-4103-b936-40396f0913c7,b52eabc3-7cdb-45f6-ae2e-f74a7b1869ea,1745603648.634735,1745603648.634738,2.86102294921875e-06,False,Session is closed,0
10,ec374590-8afa-4dc2-985d-8a3210fb4081,138c5e7e-f7e5-49f8-9a8f-ce03ba687b4d,1745603648.63475,1745603648.634752,2.1457672119140625e-06,False,Session is closed,0
11,1ccbdbf0-f01c-4f94-9301-c76cc2a52415,90bd02c7-3069-44a1-a5c1-1c8315cf9ed8,1745603648.634764,1745603648.634766,2.1457672119140625e-06,False,Session is closed,0
12,b6ecad21-e8b7-4f0d-a811-f0597b6d83d0,31423916-f521-4d6e-8799-fa417ddbd6bd,1745603648.634781,1745603648.6347861,5.245208740234375e-06,False,Session is closed,0
13,038c4ae7-15ed-4f94-9759-3ab4c5a50945,5480de70-e627-4713-9165-1617fd9952c9,1745603648.634799,1745603648.6348019,2.86102294921875e-06,False,Session is closed,0
14,459399b5-5600-4e9d-a467-5685affe1689,d57a4ee3-4567-492d-81b3-61bef97fb06a,1745603648.634815,1745603648.6348171,2.1457672119140625e-06,False,Session is closed,0
15,7126a72b-cd95-451b-8f16-3e2d402de90a,7a6cc3b3-bc5d-4e8d-ab06-e400c6512c6e,1745603648.634829,1745603648.634832,2.86102294921875e-06,False,Session is closed,0
16,f8147a5c-2a5f-4c1e-ada6-d8cff6f7cc10,85153365-af3c-4fd9-8822-0c22e05f698e,1745603648.6348438,1745603648.634846,2.1457672119140625e-06,False,Session is closed,0
17,4da966c5-3abf-468f-aac6-4b47088af6f0,ff1d259b-3cf5-4066-81ee-76edb2d5cb0b,1745603648.634857,1745603648.634859,2.1457672119140625e-06,False,Session is closed,0
18,02617790-2b53-4da7-8674-78eb6a7d8984,4ef022a1-cea1-457a-9b00-94c2183e7478,1745603648.6348941,1745603648.6349041,1.0013580322265625e-05,False,Session is closed,0
19,7c827d25-f126-476e-beb2-1a926a6a4475,4ba83295-ba43-4a4a-a775-7693a101ea07,1745603648.634932,1745603648.634937,5.0067901611328125e-06,False,Session is closed,0
20,30b72de7-0d36-4318-9509-fb2547b4caab,6442a833-f212-4144-86ed-de2d522f5053,1745603648.634953,1745603648.6349561,3.0994415283203125e-06,False,Session is closed,0
21,627c2894-c7d7-4b9e-840f-c1d1df4548c7,cb53f6b3-0a00-4a7f-8873-2d4ab4fcafa0,1745603648.634971,1745603648.634974,3.0994415283203125e-06,False,Session is closed,0
22,f915f138-e3d4-4511-99ce-be4646e85f5b,d29c9f97-bd28-467b-8f42-03a0c09e4171,1745603648.634986,1745603648.634989,3.0994415283203125e-06,False,Session is closed,0
23,4df7d676-c737-44e0-b210-670e2e83ce61,25505be5-5933-4f5d-afc5-5858941d8cfe,1745603648.6350012,1745603648.6350038,2.6226043701171875e-06,False,Session is closed,0
24,9af84a0c-06a6-4594-aee7-8d16db8bcc5f,be6efed5-e624-4177-a102-ff8ea8612bc2,1745603648.635016,1745603648.6350179,1.9073486328125e-06,False,Session is closed,0
25,a9b23f95-d961-4715-aad7-e9e9ea69a7f2,9cc77cee-21ff-433a-b333-1fd18ddb1533,1745603648.63503,1745603648.6350331,3.0994415283203125e-06,False,Session is closed,0
26,d37cda7d-2934-4037-99a7-2a9c3837d2e4,dc0497f9-e347-41b7-8f9c-a69b7a3bcc90,1745603648.635044,1745603648.635047,2.86102294921875e-06,False,Session is closed,0
27,1d145c50-ddf6-4074-a8bf-1aa51b562794,aa840d52-3fe3-4aac-bfff-f96f9928193d,1745603648.6350589,1745603648.635062,3.0994415283203125e-06,False,Session is closed,0
28,779e9976-efea-4224-b297-2d567373435e,ebe8152e-3eb0-40fe-b82a-ae456cd3b969,1745603648.6350741,1745603648.635076,1.9073486328125e-06,False,Session is closed,0
29,3e5c1917-7fb1-4b8f-bc2d-04ffb5f86cec,c582dd9f-fe2f-4ccd-8230-775de012955c,1745603648.635088,1745603648.6350908,2.86102294921875e-06,False,Session is closed,0
30,a0c65d27-c3ff-4f78-a058-2cd0e0f63169,be229242-5136-4324-8760-2cfbbba8ee02,1745603648.635102,1745603648.635104,1.9073486328125e-06,False,Session is closed,0
31,d2dbd990-8d0e-48e5-b3fb-388d5b67606a,758e4578-bb38-454c-86b2-e9c37fe8e56c,1745603648.635116,1745603648.635118,1.9073486328125e-06,False,Session is closed,0
32,2e8ebcd8-0cc0-4b2c-8bbc-ca7efcaf157d,f404fee4-f74a-44fb-ab6d-0f6e6b1b9ace,1745603648.635129,1745603648.6351318,2.86102294921875e-06,False,Session is closed,0
33,1e8b3087-c60e-46a5-935c-2dc8e9ae994f,05833d54-d507-49c2-bb98-0ff5563ff78e,1745603648.635144,1745603648.635146,1.9073486328125e-06,False,Session is closed,0
34,33e95425-ef04-474c-b081-7a42c78627ed,765d948a-b4d0-4e65-8cff-1d024e787e31,1745603648.6351879,1745603648.635202,1.4066696166992188e-05,False,Session is closed,0
35,5b2ffcf2-bcf0-414e-b2dc-09f16ab2962a,8956de8c-7a28-4aa5-99a0-937dfd1198b7,1745603648.635247,1745603648.635252,5.0067901611328125e-06,False,Session is closed,0
36,db42d8e3-e24a-40e3-a3e0-eb20477d9737,cc824b1c-7672-4bdd-9c88-f8532a7f3531,1745603648.6352699,1745603648.635274,4.0531158447265625e-06,False,Session is closed,0
37,b667debd-bbf2-483e-9c84-599fff04d5d8,404440e1-f9a2-4fcf-a234-d3cd202e2d8a,1745603648.635288,1745603648.6352909,2.86102294921875e-06,False,Session is closed,0
38,1672770d-b1b6-454f-9840-eb23d5dc575c,1ff33ab5-9f85-4fb5-b0c0-e805ddf7a839,1745603648.635305,1745603648.635307,2.1457672119140625e-06,False,Session is closed,0
39,c683ef72-62f0-4147-af85-d108601a8c5e,6dd1b7b4-e5db-4c21-b7c5-f1c2eb646e6a,1745603648.63532,1745603648.6353228,2.86102294921875e-06,False,Session is closed,0
